index,plate from,well from,native_from,plate to,well to,native to,volume,chaser,map,solvent (from),standard (from),volume (from),solvent (to),standard (to),volume (to),"Y, ppm"
70,plate1,B2,B2,ICP1,E10,B10,100,2300,293,0.09200370114945355,0.9079962988505464,18700.0,0.9619634166924167,0.038036583307583374,2400.0,0.7607316661516674
71,plate1,A1,A1,ICP1,E11,B11,100,2300,297,0.09200370114945355,0.9079962988505464,18700.0,0.9619634166924167,0.038036583307583374,2400.0,0.7607316661516674
72,plate1,A2,A2,ICP1,E12,B12,100,2300,301,0.09200370114945355,0.9079962988505464,18700.0,0.9619634166924167,0.038036583307583374,2400.0,0.7607316661516674
73,plate1,B1,B1,ICP1,E13,B13,100,2300,305,0.09685929633047254,0.9031407036695275,18700.0,0.9621668208812273,0.037833179118772764,2400.0,0.7566635823754553
74,plate1,B2,B2,ICP1,E14,B14,100,2300,309,0.09685929633047254,0.9031407036695275,18700.0,0.9621668208812273,0.037833179118772764,2400.0,0.7566635823754553
75,plate1,A1,A1,ICP1,E15,B15,100,2300,313,0.09685929633047254,0.9031407036695275,18700.0,0.9621668208812273,0.037833179118772764,2400.0,0.7566635823754553
76,plate1,A2,A2,ICP1,F1,A1,100,2300,317,0.09685929633047254,0.9031407036695275,18700.0,0.9621668208812273,0.037833179118772764,2400.0,0.7566635823754553
77,plate1,B1,B1,ICP1,F2,A2,100,2300,321,0.10168892576186041,0.8983110742381396,18700.0,0.962369137347103,0.037630862652896974,2400.0,0.7526172530579395
78,plate1,B2,B2,ICP1,F3,A3,100,2300,325,0.10168892576186041,0.8983110742381396,18700.0,0.962369137347103,0.037630862652896974,2400.0,0.7526172530579395
79,plate1,A1,A1,ICP1,F4,A4,100,2300,329,0.10168892576186041,0.8983110742381396,18700.0,0.962369137347103,0.037630862652896974,2400.0,0.7526172530579395
80,plate1,A2,A2,ICP1,F5,A5,100,2300,333,0.10168892576186041,0.8983110742381396,18700.0,0.962369137347103,0.037630862652896974,2400.0,0.7526172530579395
81,plate1,B1,B1,ICP1,F6,A6,100,2300,337,0.10649272829789326,0.8935072717021068,18700.0,0.9625703719067442,0.03742962809325581,2400.0,0.7485925618651162
82,plate1,B2,B2,ICP1,F7,A7,100,2300,341,0.10649272829789326,0.8935072717021068,18700.0,0.9625703719067442,0.03742962809325581,2400.0,0.7485925618651162
83,plate1,A1,A1,ICP1,F8,A8,100,2300,345,0.10649272829789326,0.8935072717021068,18700.0,0.9625703719067442,0.03742962809325581,2400.0,0.7485925618651162
84,plate1,A2,A2,ICP1,F9,A9,100,2300,349,0.10649272829789326,0.8935072717021068,18700.0,0.9625703719067442,0.03742962809325581,2400.0,0.7485925618651162
85,plate1,B1,B1,ICP1,F10,A10,100,2300,353,0.11127084205031096,0.8887291579496891,18700.0,0.9627705303457456,0.03722946965425444,2400.0,0.7445893930850889
86,plate1,B2,B2,ICP1,F11,A11,100,2300,357,0.11127084205031096,0.8887291579496891,18700.0,0.9627705303457456,0.03722946965425444,2400.0,0.7445893930850889
87,plate1,A1,A1,ICP1,F12,A12,100,2300,361,0.11127084205031096,0.8887291579496891,18700.0,0.9627705303457456,0.03722946965425444,2400.0,0.7445893930850889
88,plate1,A2,A2,ICP1,F13,A13,100,2300,365,0.11127084205031096,0.8887291579496891,18700.0,0.9627705303457456,0.03722946965425444,2400.0,0.7445893930850889
89,plate1,B1,B1,ICP1,F14,A14,100,2300,369,0.11602340439228792,0.8839765956077121,18700.0,0.9629696184187629,0.037030381581237046,2400.0,0.7406076316247407
90,plate1,B2,B2,ICP1,F15,A15,100,2300,373,0.11602340439228792,0.8839765956077121,18700.0,0.9629696184187629,0.037030381581237046,2400.0,0.7406076316247407
